Block,Lot,PlatAreaSF,PolyAreaSF,LotProduct_ft,LotWidth_ft,LotDepth_ft,PadElev_FP,FrontSpotElev,SpotToROW_ft,GarageApron,DrivewayDrop_ft,Slope_at21ft_pct,RunNeeded_at10pct_ft,SetbackShift_ft,DropGarage_if_noShift_ft,RestrictedDriveway,RequiredDrivewaySide,Dakota_JSwing_Fit,PlansWithEnoughSlack,Confidence,Notes
E,10,7200,7200,60,60.0,120.0,591.5,589.9,0.0,591.75,1.85,8.8,24.3,3.3,,YES,LEFT,OK - as drawn (garage left),"Ross A, Ross B/C, Cooper, Renner A",OK,
E,11,7200,7200,60,60.0,120.0,592.1,589.9,0.0,592.35,2.45,11.7,30.3,9.3,0.35,YES,RIGHT,OK - MIRROR REQUIRED (garage right),"Ross A, Ross B/C, Cooper, Renner A",OK,
E,12,7200,7200,60,60.0,120.0,592.6,590.5,0.0,592.85,2.35,11.2,29.3,8.3,0.25,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
E,13,7200,7200,60,60.0,120.0,593.2,591.7,0.0,593.45,1.75,8.3,23.3,2.3,,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A, Renner B/C",OK,
E,14,7200,7200,60,60.0,120.0,593.8,591.7,0.0,594.05,2.35,11.2,29.3,8.3,0.25,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
E,15,7200,7200,60,60.0,120.0,594.4,592.3,0.0,594.65,2.35,11.2,29.3,8.3,0.25,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
E,16,8350,8350,60,70.0,120.0,595.0,592.9,0.0,595.25,2.35,11.2,29.3,8.3,0.25,YES,LEFT,OK - as drawn (garage left),"Ross A, Ross B/C, Cooper, Renner A",OK,
F,1,8350,8350,60,70.0,120.0,594.4,592.9,0.0,594.65,1.75,8.3,23.3,2.3,,YES,RIGHT,OK - MIRROR REQUIRED (garage right),"Ross A, Ross B/C, Cooper, Renner A, Renner B/C",OK,
F,2,7200,7200,60,60.0,120.0,594.4,592.9,0.0,594.65,1.75,8.3,23.3,2.3,,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A, Renner B/C",OK,
F,3,7200,7199,60,60.0,120.0,593.8,591.7,0.0,594.05,2.35,11.2,29.3,8.3,0.25,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
F,4,7200,7200,60,60.0,120.0,593.2,591.7,0.0,593.45,1.75,8.3,23.3,2.3,,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A, Renner B/C",OK,
F,5,7200,7199,60,60.0,120.0,592.6,591.1,0.0,592.85,1.75,8.3,23.3,2.3,,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A, Renner B/C",OK,
F,6,7200,7200,60,60.0,120.0,592.1,589.9,0.0,592.35,2.45,11.7,30.3,9.3,0.35,YES,LEFT,OK - as drawn (garage left),"Ross A, Ross B/C, Cooper, Renner A",OK,
F,7,7200,7199,60,60.0,120.0,591.5,589.3,0.0,591.75,2.45,11.7,30.3,9.3,0.35,YES,RIGHT,OK - MIRROR REQUIRED (garage right),"Ross A, Ross B/C, Cooper, Renner A",OK,
F,8,8350,8350,60,70.0,120.0,590.9,589.3,0.0,591.15,1.85,8.8,24.3,3.3,,YES,LEFT,OK - as drawn (garage left),"Ross A, Ross B/C, Cooper, Renner A",OK,
F,9,10750,10749,70,90.0,120.0,587.5,585.9,0.0,587.75,1.85,8.8,24.3,3.3,,YES,RIGHT,OK - MIRROR REQUIRED (garage right),"Ross A, Ross B/C, Cooper, Renner A",OK,
F,10,9600,9599,70,80.0,120.0,588.6,587.0,0.0,588.85,1.85,8.8,24.3,3.3,,YES,LEFT,OK - as drawn (garage left),"Ross A, Ross B/C, Cooper, Renner A",OK,
F,11,9600,9599,70,80.0,120.0,589.7,588.1,0.0,589.95,1.85,8.8,24.3,3.3,,YES,RIGHT,OK - MIRROR REQUIRED (garage right),"Ross A, Ross B/C, Cooper, Renner A",OK,
F,12,9600,9599,70,80.0,120.0,590.8,589.2,0.0,591.05,1.85,8.8,24.3,3.3,,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
F,13,9600,9599,70,80.0,120.0,591.9,589.2,0.0,592.15,2.95,14.0,35.3,14.3,0.85,,,OK - either hand,"Ross A, Ross B/C",OK,
F,14,10549,10459,70,92.7,120.0,592.9,590.3,0.0,593.15,2.85,13.6,34.3,13.3,0.75,YES,LEFT,OK - as drawn (garage left),"Ross A, Ross B/C",OK,
G,1,8574,8574,60,71.9,120.0,593.4,591.8,2.8,593.65,1.85,8.8,24.3,3.3,,YES,LEFT,OK - as drawn (garage left),"Ross A, Ross B/C, Cooper, Renner A",OK,
G,2,7200,7199,60,60.0,120.0,592.6,591.0,2.8,592.85,1.85,8.8,24.3,3.3,,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
G,3,7200,7199,60,60.0,120.0,591.8,590.2,2.8,592.05,1.85,8.8,24.3,3.3,,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
G,4,7200,7200,60,60.0,120.0,591.0,589.4,2.8,591.25,1.85,8.8,24.3,3.3,,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
G,5,7200,7199,60,60.0,120.0,590.1,588.6,2.8,590.35,1.75,8.3,23.3,2.3,,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A, Renner B/C",OK,
G,6,8400,8399,70,70.0,120.0,589.3,587.8,2.8,589.55,1.75,8.3,23.3,2.3,,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A, Renner B/C",OK,
G,7,8400,8400,70,70.0,120.0,588.4,585.9,2.8,588.65,2.75,13.1,33.3,12.3,0.65,YES,RIGHT,OK - MIRROR REQUIRED (garage right),"Ross A, Ross B/C",OK,
G,8,8400,8400,70,70.0,120.0,587.4,585.9,2.8,587.65,1.75,8.3,23.3,2.3,,YES,LEFT,OK - as drawn (garage left),"Ross A, Ross B/C, Cooper, Renner A, Renner B/C",OK,
G,9,8400,8400,70,70.0,120.0,586.5,585.0,2.8,586.75,1.75,8.3,23.3,2.3,,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A, Renner B/C",OK,
G,10,8400,8400,70,70.0,120.0,585.6,583.1,0.0,585.85,2.75,13.1,33.3,12.3,0.65,,,OK - either hand,"Ross A, Ross B/C",OK,
G,11,9550,9550,70,80.0,120.0,584.6,583.1,0.0,584.85,1.75,8.3,23.3,2.3,,YES,RIGHT,OK - MIRROR REQUIRED (garage right),"Ross A, Ross B/C, Cooper, Renner A, Renner B/C",OK,
G,12,8350,8349,60,70.0,120.0,586.8,585.2,0.0,587.05,1.85,8.8,24.3,3.3,,YES,LEFT,OK - as drawn (garage left),"Ross A, Ross B/C, Cooper, Renner A",OK,
G,13,7200,7200,60,60.0,120.0,587.2,585.2,0.0,587.45,2.25,10.7,28.3,7.3,0.15,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
G,14,7200,7200,60,60.0,120.0,587.7,585.7,2.8,587.95,2.25,10.7,28.3,7.3,0.15,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
G,15,7200,7200,60,60.0,120.0,588.1,586.1,2.8,588.35,2.25,10.7,28.3,7.3,0.15,YES,RIGHT,OK - MIRROR REQUIRED (garage right),"Ross A, Ross B/C, Cooper, Renner A",OK,
G,16,7200,7200,60,60.0,120.0,588.5,586.5,2.8,588.75,2.25,10.7,28.3,7.3,0.15,YES,LEFT,OK - as drawn (garage left),"Ross A, Ross B/C, Cooper, Renner A",OK,
G,17,7200,7200,60,60.0,120.0,588.9,587.4,2.8,589.15,1.75,8.3,23.3,2.3,,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A, Renner B/C",OK,
G,18,7200,7200,60,60.0,120.0,589.4,587.4,2.8,589.65,2.25,10.7,28.3,7.3,0.15,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
G,19,7200,7200,60,60.0,120.0,589.8,587.8,2.8,590.05,2.25,10.7,28.3,7.3,0.15,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
G,20,7200,7200,60,60.0,120.0,590.2,588.3,2.8,590.45,2.15,10.2,27.3,6.3,0.05,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
G,21,7200,7200,60,60.0,120.0,590.7,588.7,2.8,590.95,2.25,10.7,28.3,7.3,0.15,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
G,22,7200,7200,60,60.0,120.0,591.1,589.1,2.8,591.35,2.25,10.7,28.3,7.3,0.15,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
G,23,8493,8471,60,71.9,120.0,591.6,590.1,2.2,591.85,1.75,8.3,23.3,2.3,,YES,RIGHT,OK - MIRROR REQUIRED (garage right),"Ross A, Ross B/C, Cooper, Renner A, Renner B/C",OK,
